City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,General Roca,AR,66.36,scattered clouds,-39.0333,-67.5833,Hotel El Recreo
3,Dharmavaram,IN,84.0,overcast clouds,14.4333,77.7167,BALAJI LODGE
4,Rikitea,PF,76.71,broken clouds,-23.1203,-134.9692,People ThankYou
5,Hermanus,ZA,61.81,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
7,Arraial Do Cabo,BR,82.36,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
8,Ribeira Grande,PT,64.8,few clouds,38.5167,-28.7,Quinta da Meia Eira
9,Cape Town,ZA,65.12,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
11,Mogok,MM,60.42,broken clouds,22.9167,96.5,MOGOK HILL HOTEL
14,Atuona,PF,79.95,broken clouds,-9.8,-139.0333,Villa Enata
16,Castro,BR,71.73,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
17,Quatre Cocos,MU,80.1,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
18,Puerto Leguizamo,CO,84.78,overcast clouds,-0.1934,-74.7819,la casona de juancho
19,Bandar-E Lengeh,IR,79.3,scattered clouds,26.5579,54.8807,کافی نت پارس
20,Hithadhoo,MV,83.03,broken clouds,-0.6,73.0833,Scoop Guest House
21,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
27,East London,ZA,72.39,overcast clouds,-33.0153,27.9116,Tu Casa
29,Mar Del Plata,AR,75.22,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
30,Kapaa,US,78.19,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
32,Omboue,GA,78.1,broken clouds,-1.5746,9.2618,Hotel Olako
34,Bredasdorp,ZA,61.47,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
36,Faanui,PF,81.82,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
38,Souillac,MU,79.18,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
45,Bengkulu,ID,76.93,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
47,Namatanai,PG,78.37,light rain,-3.6667,152.4333,Seagulls Inn Namatani
48,Kahului,US,78.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
49,Port Elizabeth,ZA,64.09,clear sky,-33.918,25.5701,39 On Nile Guest House
53,Saint George,US,75.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
56,Guerrero Negro,MX,65.97,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
57,Busselton,AU,62.58,broken clouds,-33.65,115.3333,Observatory Guest House
59,Myitkyina,MM,65.61,broken clouds,25.3833,97.4,Shwe Phyu Hotel
61,Butaritari,KI,81.46,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
64,Samarai,PG,80.8,overcast clouds,-10.6167,150.6667,Nuli Sapi
66,Hilo,US,78.53,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
68,Tartagal,AR,83.26,clear sky,-22.5164,-63.8013,Almuñecar Hotel
69,Ranong,TH,75.61,moderate rain,9.9658,98.6348,Tinidee Hotel@Ranong
72,Kavieng,PG,80.69,light rain,-2.5744,150.7967,Nusa Island Retreat
76,Zaranj,AF,69.76,clear sky,30.9667,61.8833,کارگاه بلوک زنی سرهنگ
77,Sibolga,ID,74.8,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
80,Mogadishu,SO,81.68,broken clouds,2.0371,45.3438,Hotel Juba
81,Carutapera,BR,79.02,moderate rain,-1.195,-46.02,Lidera
82,Matata,NZ,63.84,clear sky,-37.8833,176.75,Matata B&B
83,Santana Do Livramento,BR,62.82,light rain,-30.8908,-55.5328,Hotel Emirates
84,Kashmor,PK,85.68,clear sky,28.4333,69.5833,Shah Madina Hotel
89,Kapoeta,SS,85.24,overcast clouds,4.7717,33.5903,Eastgate Hotel
90,Poplar Bluff,US,64.13,clear sky,36.757,-90.3929,Holiday Inn Poplar Bluff
91,Tiarei,PF,84.22,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
93,Meulaboh,ID,74.25,overcast clouds,4.1363,96.1285,Kost Pria
94,Puri,IN,79.9,clear sky,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
96,Esqueda,MX,76.71,overcast clouds,30.7167,-109.5833,Hotel Esqueda
102,Geraldton,AU,72.01,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
103,Hervey Bay,AU,68.02,clear sky,-25.2986,152.8535,Shelly Bay Resort
104,Alta Gracia,AR,75.54,clear sky,-31.6529,-64.4283,Hotel Ritz
106,Saint-Philippe,RE,74.79,heavy intensity rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
108,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
109,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
112,Vaini,TO,73.56,light intensity shower rain,-21.2,-175.2,Keleti Beach Resort
115,Santa Cruz,BO,86.05,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
119,Isla Mujeres,MX,87.85,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
122,Constitucion,CL,62.78,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
123,Tezu,IN,66.15,heavy intensity rain,27.9167,96.1667,Circuit House
124,Itaituba,BR,82.56,broken clouds,-4.2761,-55.9836,Hotel Campos
126,Puerto Ayora,EC,85.96,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
129,Rohtak,IN,77.32,clear sky,28.9,76.5667,SPOT ON 66080 Hotel Milan
130,Nioro,GM,80.83,overcast clouds,13.35,-15.75,
131,Gizo,SB,82.2,overcast clouds,-8.103,156.8419,Imagination Island
133,Weiser,US,60.87,overcast clouds,44.251,-116.9693,The Colonial Motel
134,Buchanan,LR,79.5,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
135,Tahoua,NE,86.23,broken clouds,14.8888,5.2692,Bungalows Guesthouse
136,Bonoua,CI,83.82,overcast clouds,5.2741,-3.595,Hotel Bon Samaritian
137,Hobyo,SO,81.61,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
142,Maceio,BR,83.64,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
143,Rawson,AR,62.29,few clouds,-43.3002,-65.1023,Hosteria Sampedro
144,Itaueira,BR,88.21,scattered clouds,-7.6033,-43.0256,Pousada e Restaurante Cheiro e Sabor
148,Mana,GF,80.01,scattered clouds,5.6592,-53.7767,LE SAMANA
150,Port Alfred,ZA,68.18,overcast clouds,-33.5906,26.891,The Halyards Hotel
153,Bocas Del Toro,PA,82.58,scattered clouds,9.3333,-82.25,Hotel Bocas del Toro
154,Grand Gaube,MU,80.38,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
156,Cabo San Lucas,MX,77.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
158,Biak,ID,76.44,overcast clouds,-0.9131,122.8766,Penginapan Kim
159,San Quintin,MX,63.66,scattered clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
161,Merauke,ID,77.32,scattered clouds,-8.4667,140.3333,
163,Vavoua,CI,78.53,overcast clouds,7.3819,-6.4778,Hotel Le Peuple
165,Ixtapa,MX,78.03,clear sky,20.7,-105.2,hotel la terminal
166,Ponta Do Sol,PT,61.43,overcast clouds,32.6667,-17.1,Hotel do Campo
170,Shahrud,IR,64.87,clear sky,36.4182,54.9763,Royal Hotel
174,Mahebourg,MU,80.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
175,Pisco,PE,73.45,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
176,Dzaoudzi,YT,82.29,overcast clouds,-12.7887,45.2699,Le Rocher
177,Salinopolis,BR,81.73,moderate rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
181,Pontianak,ID,76.98,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
182,Katuli,PH,73.38,overcast clouds,7.4333,124.2167,
187,Moree,AU,60.82,overcast clouds,-29.4667,149.85,Molika Springs Motel
192,Benguela,AO,77.4,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
193,La Asuncion,VE,85.73,clear sky,11.0333,-63.8628,Colinas de Matasiete
195,Cidreira,BR,69.98,moderate rain,-30.1811,-50.2056,Hotel Castelo
197,Saint-Joseph,RE,73.78,moderate rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
198,Waddan,LY,80.89,clear sky,29.1614,16.139,محل الشريف محمد العايب
199,Cayenne,GF,82.44,light rain,4.9333,-52.3333,Hôtel Le Dronmi
200,Umm Kaddadah,SD,84.74,overcast clouds,13.6017,26.6876,
203,Tura,IN,69.84,moderate rain,25.5198,90.2201,Hotel RIKMAN Continental
204,Esperance,AU,62.44,light rain,-33.8667,121.9,Hospitality Esperance
205,Caravelas,BR,80.02,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
208,Cam Ranh,VN,76.96,broken clouds,11.9214,109.1591,OYO 598 Peony Hotel
211,Bathsheba,BB,84.81,few clouds,13.2167,-59.5167,Atlantis Hotel
215,Upata,VE,82.71,overcast clouds,8.0086,-62.3989,Posada Villa Nela
216,Tual,ID,81.7,broken clouds,-5.6667,132.75,Grand Vilia Hotel
217,Ravar,IR,70.65,broken clouds,31.2656,56.8055,computertik
218,Saint-Georges,GD,83.88,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
219,Adet,ET,68.36,broken clouds,11.2644,37.4888,Shama Hotel
220,Abu Dhabi,AE,75.31,clear sky,24.4667,54.3667,Beach Rotana
221,Chokwe,MZ,78.94,clear sky,-24.5333,32.9833,Complexo Sonho Real
222,Sambava,MG,77.65,light rain,-14.2667,50.1667,Melrose
225,Sao Filipe,CV,71.13,clear sky,14.8961,-24.4956,Hotel Xaguate
226,Poum,NC,81.99,overcast clouds,-20.2333,164.0167,
227,Tautira,PF,81.81,light rain,-17.7333,-149.15,Pension Oaoa
228,Coquimbo,CL,62.33,clear sky,-29.9533,-71.3436,Hotel San Juan
230,Limon,CR,84.09,scattered clouds,10.0,-83.0333,Hotel Playa Bonita
235,Kindu,CD,71.53,light rain,-2.95,25.95,Résidence Okanda
237,Svay Rieng,KH,75.54,overcast clouds,11.0879,105.7993,Apsara guesthouse
239,Marawi,PH,67.33,overcast clouds,7.9986,124.2928,Derogongan Residence
241,Vila Velha,BR,84.15,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
243,Taltal,CL,67.23,few clouds,-25.4,-70.4833,Residencial Karime
245,Rurrenabaque,BO,87.55,clear sky,-14.4413,-67.5278,Casa de Campo
250,Samana,DO,87.76,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
251,Port Blair,IN,82.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
253,Nizwa,OM,77.72,clear sky,22.9333,57.5333,Orient Apartments
255,Bella Vista,US,72.52,clear sky,36.4295,-94.2316,The Inn at Bella Vista
258,Sawakin,SD,80.31,overcast clouds,19.1059,37.3321,فندق الدويم
260,Colomi,BO,66.22,broken clouds,-17.35,-65.8667,Casa
261,Praia,CV,73.94,few clouds,14.9215,-23.5087,LT Aparthotel
262,Dingle,PH,75.43,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
265,Sri Aman,MY,75.25,broken clouds,1.2376,111.4621,Seri Simanggang Hotel
268,Diu,IN,77.99,clear sky,20.7141,70.9822,Hotel Relax Inn
269,Nha Trang,VN,77.0,overcast clouds,12.25,109.1833,Hanoi Golden Hotel
271,Razole,IN,76.69,few clouds,16.4833,81.8333,Sterling Palavelli Godavari
272,Manga,BF,88.21,light rain,11.6636,-1.0731,Auberge du 11 décembre de la cité CNSS à Manga
274,Cururupu,BR,81.16,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
279,Bambous Virieux,MU,80.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
280,Rockhampton,AU,69.69,scattered clouds,-23.3833,150.5,Mercure Rockhampton
285,Kirakira,SB,80.71,overcast clouds,-10.4544,161.9205,SanBiz Lodge
286,Porterville,US,74.75,clear sky,36.0652,-119.0168,"Holiday Inn Express & Suites Porterville, an IHG Hotel"
289,Carnarvon,AU,77.07,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
291,Cuamba,MZ,69.71,light rain,-14.8031,36.5372,Hotel Vision
294,Maripi,CO,73.69,overcast clouds,5.5519,-74.0086,El Esquinazo
295,Las Palmas,ES,63.39,scattered clouds,28.4204,-14.0131,Casillas De Morales 59.
297,Praia Da Vitoria,PT,62.76,few clouds,38.7333,-27.0667,Hotel Branco I
298,Lufilufi,WS,78.58,broken clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
299,Baillif,GP,81.9,clear sky,16.0202,-61.7463,Hôtel Saint-Georges
301,Carson City,US,65.44,clear sky,39.1638,-119.7674,Courtyard by Marriott Carson City
303,Ferkessedougou,CI,88.5,broken clouds,9.6,-5.2,Hotel Chateau
304,Whitianga,NZ,63.54,clear sky,-36.8333,175.7,Beachside Resort Whitianga
308,Colesberg,ZA,62.76,few clouds,-30.72,25.0972,Bhelekazi Guesthouse
310,Gambela,ET,80.17,light rain,8.25,34.5833,Solomon Debebe Hotel
311,Sompeta,IN,77.68,few clouds,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
312,Krishnarajasagara,IN,75.16,broken clouds,12.4089,76.5797,Royal Orchid Brindavan Garden Palace & Spa
313,Srivardhan,IN,78.35,few clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
315,Carmen,MX,87.84,clear sky,18.6333,-91.8333,Hotel Lossandes
316,Bubaque,GW,75.2,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
317,Nouadhibou,MR,67.98,clear sky,20.931,-17.0347,El Medina
