City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,General Roca,AR,-39.0333,-67.5833,66.36,15,28,9.36,scattered clouds
1,Mataura,NZ,-46.1927,168.8643,46.13,95,98,0.9,overcast clouds
2,Albany,US,42.6001,-73.9662,41.88,85,100,0.92,moderate rain
3,Dharmavaram,IN,14.4333,77.7167,84.0,32,92,1.39,overcast clouds
4,Rikitea,PF,-23.1203,-134.9692,76.71,66,56,4.59,broken clouds
5,Hermanus,ZA,-34.4187,19.2345,61.81,87,1,3.84,clear sky
6,Ushuaia,AR,-54.8,-68.3,38.86,81,40,13.89,light rain
7,Arraial Do Cabo,BR,-22.9661,-42.0278,82.36,74,40,5.66,scattered clouds
8,Ribeira Grande,PT,38.5167,-28.7,64.8,63,20,4.63,few clouds
9,Cape Town,ZA,-33.9258,18.4232,65.12,80,0,6.17,clear sky
10,Bluff,NZ,-46.6,168.3333,56.23,75,98,5.49,overcast clouds
11,Mogok,MM,22.9167,96.5,60.42,94,56,1.62,broken clouds
12,Katsuura,JP,35.1333,140.3,54.25,87,100,8.05,moderate rain
13,Codrington,AU,-38.2667,141.9667,58.39,85,100,2.41,overcast clouds
14,Atuona,PF,-9.8,-139.0333,79.95,72,83,9.45,broken clouds
15,Kultuk,RU,51.7208,103.6956,26.42,97,100,0.66,light snow
16,Castro,BR,-24.7911,-50.0119,71.73,80,69,2.05,broken clouds
17,Quatre Cocos,MU,-20.2078,57.7625,80.1,79,21,5.85,few clouds
18,Puerto Leguizamo,CO,-0.1934,-74.7819,84.78,63,99,1.15,overcast clouds
19,Bandar-E Lengeh,IR,26.5579,54.8807,79.3,49,41,2.61,scattered clouds
20,Hithadhoo,MV,-0.6,73.0833,83.03,69,53,2.15,broken clouds
21,Alofi,NU,-19.0595,-169.9187,75.09,94,89,1.54,overcast clouds
22,Havoysund,NO,70.9963,24.6622,26.83,57,100,6.54,overcast clouds
23,Sao Francisco,BR,-15.9486,-44.8644,91.2,27,2,3.0,clear sky
24,Pevek,RU,69.7008,170.3133,-19.73,96,24,1.02,few clouds
25,Khatanga,RU,71.9667,102.5,-29.15,100,99,1.83,overcast clouds
26,Cherskiy,RU,68.75,161.3,-2.67,98,100,1.61,overcast clouds
27,East London,ZA,-33.0153,27.9116,72.39,89,100,6.89,overcast clouds
28,Semey,KZ,50.4111,80.2275,37.65,77,62,3.85,broken clouds
29,Mar Del Plata,AR,-38.0023,-57.5575,75.22,62,40,9.77,scattered clouds
30,Kapaa,US,22.0752,-159.319,78.19,78,40,9.26,scattered clouds
31,Krasavino,RU,60.9614,46.4814,24.8,93,100,4.19,overcast clouds
32,Omboue,GA,-1.5746,9.2618,78.1,87,77,2.17,broken clouds
33,Miyako,JP,39.6367,141.9525,43.88,88,100,2.71,overcast clouds
34,Bredasdorp,ZA,-34.5322,20.0403,61.47,88,56,1.02,broken clouds
35,New Norfolk,AU,-42.7826,147.0587,56.7,89,99,0.46,overcast clouds
36,Faanui,PF,-16.4833,-151.75,81.82,75,71,4.7,broken clouds
37,Kondinskoye,RU,59.6481,67.41,35.53,100,100,6.64,overcast clouds
38,Souillac,MU,-20.5167,57.5167,79.18,83,75,5.14,broken clouds
39,Tuktoyaktuk,CA,69.4541,-133.0374,-20.2,69,20,1.03,few clouds
40,San Blas,MX,21.5167,-105.2667,98.49,63,2,4.15,clear sky
41,Hobart,AU,-42.8794,147.3294,57.06,95,100,2.57,overcast clouds
42,Kodiak,US,57.79,-152.4072,36.91,65,100,5.14,overcast clouds
43,Yulara,AU,-25.2406,130.9889,57.04,35,0,2.06,clear sky
44,Nevinnomyssk,RU,44.6267,41.9453,48.74,81,100,9.94,overcast clouds
45,Bengkulu,ID,-3.8004,102.2655,76.93,82,100,2.06,overcast clouds
46,Ust-Tsilma,RU,65.441,52.1498,22.14,94,100,3.9,light snow
47,Namatanai,PG,-3.6667,152.4333,78.37,85,100,1.07,light rain
48,Kahului,US,20.8947,-156.47,78.82,66,40,11.32,scattered clouds
49,Port Elizabeth,ZA,-33.918,25.5701,64.09,96,0,3.6,clear sky
50,Kurilsk,RU,45.2333,147.8833,35.28,77,0,3.62,clear sky
51,Princeville,CA,45.7668,-61.2985,42.91,70,0,4.63,clear sky
52,Solvychegodsk,RU,61.3305,46.9156,23.58,94,100,3.8,overcast clouds
53,Saint George,US,37.1041,-113.5841,75.63,21,0,1.54,clear sky
54,Chokurdakh,RU,70.6333,147.9167,-21.78,100,81,1.15,broken clouds
55,Cheremshan,RU,54.6667,51.5,40.39,92,93,3.47,overcast clouds
56,Guerrero Negro,MX,27.9769,-114.0611,65.97,53,31,6.55,scattered clouds
57,Busselton,AU,-33.65,115.3333,62.58,81,51,7.59,broken clouds
58,Qaanaaq,GL,77.484,-69.3632,14.67,75,92,2.7,overcast clouds
59,Myitkyina,MM,25.3833,97.4,65.61,94,73,0.51,broken clouds
60,Nikolskoye,RU,59.7035,30.7861,30.7,96,35,1.32,scattered clouds
61,Butaritari,KI,3.0707,172.7902,81.46,72,98,6.48,overcast clouds
62,Iqaluit,CA,63.7506,-68.5145,26.33,86,75,10.29,broken clouds
63,Abaza,RU,52.655,90.0928,39.56,99,100,2.49,moderate rain
64,Samarai,PG,-10.6167,150.6667,80.8,77,92,4.43,overcast clouds
65,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,96.84,29,3,6.44,clear sky
66,Hilo,US,19.7297,-155.09,78.53,76,100,3.09,heavy intensity rain
67,Tasiilaq,GL,65.6145,-37.6368,30.36,95,95,2.12,overcast clouds
68,Tartagal,AR,-22.5164,-63.8013,83.26,39,0,1.68,clear sky
69,Ranong,TH,9.9658,98.6348,75.61,90,83,1.53,moderate rain
70,Anadyr,RU,64.75,177.4833,-8.9,77,0,2.0,clear sky
71,Jamestown,US,42.097,-79.2353,33.71,75,100,4.12,light snow
72,Kavieng,PG,-2.5744,150.7967,80.69,78,100,2.07,light rain
73,Sangar,RU,63.9242,127.4739,7.11,98,100,0.42,overcast clouds
74,Hashtrud,IR,37.4779,47.0508,55.26,44,16,2.76,few clouds
75,Dikson,RU,73.5069,80.5464,-2.94,100,45,4.11,scattered clouds
76,Zaranj,AF,30.9667,61.8833,69.76,11,8,2.54,clear sky
77,Sibolga,ID,1.7427,98.7792,74.8,87,94,1.03,overcast clouds
78,Talnakh,RU,69.4865,88.3972,-0.22,98,86,2.66,overcast clouds
79,Barrow,US,71.2906,-156.7887,-7.58,71,40,7.2,mist
80,Mogadishu,SO,2.0371,45.3438,81.68,78,60,6.26,broken clouds
81,Carutapera,BR,-1.195,-46.02,79.02,88,100,3.1,moderate rain
82,Matata,NZ,-37.8833,176.75,63.84,84,6,1.67,clear sky
83,Santana Do Livramento,BR,-30.8908,-55.5328,62.82,98,100,3.86,light rain
84,Kashmor,PK,28.4333,69.5833,85.68,5,6,2.67,clear sky
85,Tiksi,RU,71.6872,128.8694,4.77,98,100,3.58,overcast clouds
86,Naze,JP,28.3667,129.4833,58.12,61,13,5.43,few clouds
87,Croy,CH,46.6946,6.4772,34.43,93,76,3.28,broken clouds
88,Kaitangata,NZ,-46.2817,169.8464,47.16,94,92,2.31,overcast clouds
89,Kapoeta,SS,4.7717,33.5903,85.24,39,98,2.08,overcast clouds
90,Poplar Bluff,US,36.757,-90.3929,64.13,36,0,4.63,clear sky
91,Tiarei,PF,-17.5333,-149.3333,84.22,76,32,5.68,light rain
92,Punta Arenas,CL,-53.15,-70.9167,41.11,87,40,10.29,light intensity shower rain
93,Meulaboh,ID,4.1363,96.1285,74.25,84,100,1.38,overcast clouds
94,Puri,IN,19.8,85.85,79.9,87,8,9.31,clear sky
95,Malinovskiy,RU,61.1953,62.8397,33.28,98,100,4.5,overcast clouds
96,Esqueda,MX,30.7167,-109.5833,76.71,11,93,8.32,overcast clouds
97,Altay,CN,47.8667,88.1167,34.27,54,2,3.74,clear sky
98,Pareora,NZ,-44.4871,171.2132,53.08,89,86,1.3,overcast clouds
99,Agarak,AM,39.2068,46.5446,58.66,36,6,3.92,clear sky
100,Upernavik,GL,72.7868,-56.1549,18.46,86,46,1.77,scattered clouds
101,Gangakher,IN,18.95,76.75,90.14,17,100,2.76,overcast clouds
102,Geraldton,AU,-28.7667,114.6,72.01,88,75,6.69,broken clouds
103,Hervey Bay,AU,-25.2986,152.8535,68.02,92,2,2.68,clear sky
104,Alta Gracia,AR,-31.6529,-64.4283,75.54,30,0,6.65,clear sky
105,Norman Wells,CA,65.282,-126.8329,-3.96,54,75,2.06,broken clouds
106,Saint-Philippe,RE,-21.3585,55.7679,74.79,91,100,6.14,heavy intensity rain
107,Yellowknife,CA,62.456,-114.3525,19.42,68,75,7.72,broken clouds
108,Olinda,BR,-8.0089,-34.8553,83.93,74,40,4.63,scattered clouds
109,Avarua,CK,-21.2078,-159.775,77.05,94,20,1.03,few clouds
110,Sajanan,TN,37.0573,9.2426,50.92,78,100,4.58,overcast clouds
111,Raahe,FI,64.6833,24.4833,15.89,95,58,1.44,broken clouds
112,Vaini,TO,-21.2,-175.2,73.56,100,100,2.57,light intensity shower rain
113,Okhotsk,RU,59.3833,143.3,17.02,92,100,3.92,overcast clouds
114,Rovaniemi,FI,66.5,25.7167,24.21,93,40,2.06,scattered clouds
115,Santa Cruz,BO,-17.8,-63.1667,86.05,48,20,10.29,few clouds
116,Sorland,NO,67.667,12.6934,31.86,69,28,4.71,scattered clouds
117,Nizhniy Kuranakh,RU,58.8353,125.4869,15.13,96,100,2.12,light snow
118,Nanortalik,GL,60.1432,-45.2371,37.85,80,98,2.41,overcast clouds
119,Isla Mujeres,MX,21.2311,-86.731,87.85,68,7,6.09,clear sky
120,Cody,US,44.5263,-109.0565,51.26,11,0,2.06,clear sky
121,Vanavara,RU,60.34,102.2797,-1.7,99,42,1.5,scattered clouds
122,Constitucion,CL,-35.3333,-72.4167,62.78,44,0,9.88,clear sky
123,Tezu,IN,27.9167,96.1667,66.15,96,100,2.08,heavy intensity rain
124,Itaituba,BR,-4.2761,-55.9836,82.56,83,75,1.54,broken clouds
125,Ati,TD,13.2154,18.3353,90.86,8,100,4.1,overcast clouds
126,Puerto Ayora,EC,-0.7393,-90.3518,85.96,76,45,5.19,light rain
127,Te Anau,NZ,-45.4167,167.7167,46.22,75,69,0.42,broken clouds
128,Khilok,RU,51.3674,110.4676,23.11,97,100,0.48,light snow
129,Rohtak,IN,28.9,76.5667,77.32,6,2,1.32,clear sky
130,Nioro,GM,13.35,-15.75,80.83,43,96,5.54,overcast clouds
131,Gizo,SB,-8.103,156.8419,82.2,76,100,3.77,overcast clouds
132,Lebu,CL,-37.6167,-73.65,56.89,63,0,8.33,clear sky
133,Weiser,US,44.251,-116.9693,60.87,36,100,2.24,overcast clouds
134,Buchanan,LR,5.8808,-10.0467,79.5,85,86,3.77,overcast clouds
135,Tahoua,NE,14.8888,5.2692,86.23,4,76,1.94,broken clouds
136,Bonoua,CI,5.2741,-3.595,83.82,87,95,3.6,overcast clouds
137,Hobyo,SO,5.3505,48.5268,81.61,74,25,4.45,scattered clouds
138,Lagoa,PT,39.05,-27.9833,58.95,82,0,8.57,clear sky
139,Mount Gambier,AU,-37.8333,140.7667,46.31,100,38,2.57,mist
140,Yerbogachen,RU,61.2767,108.0108,4.14,96,93,2.73,overcast clouds
141,Longyearbyen,SJ,78.2186,15.6401,6.64,56,20,8.23,few clouds
142,Maceio,BR,-9.6658,-35.7353,83.64,69,75,5.66,broken clouds
143,Rawson,AR,-43.3002,-65.1023,62.29,26,13,7.05,few clouds
144,Itaueira,BR,-7.6033,-43.0256,88.21,46,26,1.94,scattered clouds
145,Datong,CN,40.0936,113.2914,43.09,30,41,1.67,scattered clouds
146,Provideniya,RU,64.3833,-173.3,2.8,74,0,5.14,clear sky
147,Bethel,US,41.3712,-73.414,43.02,88,100,0.0,light rain
148,Mana,GF,5.6592,-53.7767,80.01,83,40,5.11,scattered clouds
149,Nehe,CN,48.4833,124.8333,43.93,44,61,2.68,broken clouds
150,Port Alfred,ZA,-33.5906,26.891,68.18,91,98,1.34,overcast clouds
151,Lovozero,RU,68.005,35.0117,12.38,94,100,3.46,overcast clouds
152,Brae,GB,60.3964,-1.353,46.72,96,100,9.58,overcast clouds
153,Bocas Del Toro,PA,9.3333,-82.25,82.58,71,45,4.85,scattered clouds
154,Grand Gaube,MU,-20.0064,57.6608,80.38,81,27,2.68,scattered clouds
155,Warrington,GB,53.3925,-2.5802,46.96,70,20,4.12,few clouds
156,Cabo San Lucas,MX,22.8909,-109.9124,77.61,57,0,4.63,clear sky
157,Mukhen,RU,48.1,136.1,39.79,64,0,5.64,clear sky
158,Biak,ID,-0.9131,122.8766,76.44,86,100,1.04,overcast clouds
159,San Quintin,MX,30.4833,-115.95,63.66,58,30,5.08,scattered clouds
160,Broome,US,42.2506,-75.833,40.86,81,100,7.2,overcast clouds
161,Merauke,ID,-8.4667,140.3333,77.32,83,41,2.32,scattered clouds
162,Felanitx,ES,39.4696,3.1483,48.96,62,100,7.89,overcast clouds
163,Vavoua,CI,7.3819,-6.4778,78.53,73,100,1.51,overcast clouds
164,Jinchang,CN,38.4953,102.1739,47.82,17,98,4.62,overcast clouds
165,Ixtapa,MX,20.7,-105.2,78.03,57,0,3.6,clear sky
166,Ponta Do Sol,PT,32.6667,-17.1,61.43,71,100,6.86,overcast clouds
167,Thompson,CA,55.7435,-97.8558,37.56,48,100,5.14,overcast clouds
168,Songjianghe,CN,42.1859,127.479,32.09,70,2,2.86,clear sky
169,Burnie,AU,-41.0667,145.9167,58.24,76,56,1.33,broken clouds
170,Shahrud,IR,36.4182,54.9763,64.87,23,0,1.4,clear sky
171,Ust-Kuyga,RU,70.0167,135.6,-23.98,100,99,0.42,overcast clouds
172,Dire,ML,12.2833,-10.9667,93.45,13,100,1.19,overcast clouds
173,Clyde River,CA,70.4692,-68.5914,12.43,85,75,3.6,broken clouds
174,Mahebourg,MU,-20.4081,57.7,80.26,83,75,5.14,broken clouds
175,Pisco,PE,-13.7,-76.2167,73.45,64,0,8.23,clear sky
176,Dzaoudzi,YT,-12.7887,45.2699,82.29,78,100,3.6,overcast clouds
177,Salinopolis,BR,-0.6136,-47.3561,81.73,78,78,4.41,moderate rain
178,Ostrovnoy,RU,68.0531,39.5131,15.84,92,100,2.94,overcast clouds
179,Vigrestad,NO,58.5667,5.7,41.59,93,100,10.73,light rain
180,Batagay,RU,67.6333,134.6333,-14.06,99,98,0.56,overcast clouds
181,Pontianak,ID,-0.0333,109.3333,76.98,94,75,1.03,broken clouds
182,Katuli,PH,7.4333,124.2167,73.38,92,88,1.67,overcast clouds
183,Stryn,NO,61.9045,6.7226,36.32,98,100,1.29,light rain
184,Calvinia,ZA,-31.4707,19.776,59.16,63,0,3.38,clear sky
185,Lata,PT,40.1629,-8.3327,54.81,46,1,2.15,clear sky
186,Korla,CN,41.7597,86.1469,57.02,23,0,1.57,clear sky
187,Moree,AU,-29.4667,149.85,60.82,94,100,3.6,overcast clouds
188,Hasaki,JP,35.7333,140.8333,48.29,75,98,9.46,light rain
189,Birjand,IR,32.8663,59.2211,59.47,15,0,4.12,clear sky
190,Kushima,JP,31.4583,131.2333,47.84,61,0,2.19,clear sky
191,Ilulissat,GL,69.2167,-51.1,30.22,74,75,2.06,broken clouds
192,Benguela,AO,-12.5763,13.4055,77.4,81,93,1.8,overcast clouds
193,La Asuncion,VE,11.0333,-63.8628,85.73,58,3,10.29,clear sky
194,Prince Rupert,CA,54.3161,-130.3201,42.89,70,75,11.83,broken clouds
195,Cidreira,BR,-30.1811,-50.2056,69.98,95,100,8.55,moderate rain
196,Arlit,NE,18.7369,7.3853,90.14,6,2,2.4,clear sky
197,Saint-Joseph,RE,-21.3667,55.6167,73.78,88,100,5.9,moderate rain
198,Waddan,LY,29.1614,16.139,80.89,11,1,6.82,clear sky
199,Cayenne,GF,4.9333,-52.3333,82.44,1,40,4.63,light rain
200,Umm Kaddadah,SD,13.6017,26.6876,84.74,9,100,5.45,overcast clouds
201,Mehamn,NO,71.0357,27.8492,28.31,65,96,5.05,overcast clouds
202,Henties Bay,NA,-22.116,14.2845,61.66,83,0,2.2,clear sky
203,Tura,IN,25.5198,90.2201,69.84,94,11,2.82,moderate rain
204,Esperance,AU,-33.8667,121.9,62.44,92,100,3.37,light rain
205,Caravelas,BR,-17.7125,-39.2481,80.02,68,0,2.97,clear sky
206,Grindavik,IS,63.8424,-22.4338,41.47,93,75,9.26,broken clouds
207,Sitka,US,57.0531,-135.33,39.09,87,100,7.72,moderate rain
208,Cam Ranh,VN,11.9214,109.1591,76.96,69,75,5.66,broken clouds
209,Turukhansk,RU,65.8167,87.9833,-5.08,100,23,1.77,few clouds
210,Hastings,GB,50.8552,0.5729,45.52,62,59,4.55,broken clouds
211,Bathsheba,BB,13.2167,-59.5167,84.81,58,20,8.75,few clouds
212,Lac Du Bonnet,CA,50.2536,-96.0612,35.08,77,100,1.19,overcast clouds
213,Severo-Kurilsk,RU,50.6789,156.125,30.2,87,23,5.18,few clouds
214,College,US,64.8569,-147.8028,21.99,63,75,1.54,broken clouds
215,Upata,VE,8.0086,-62.3989,82.71,56,100,2.57,overcast clouds
216,Tual,ID,-5.6667,132.75,81.7,66,51,0.92,broken clouds
217,Ravar,IR,31.2656,56.8055,70.65,13,72,1.62,broken clouds
218,Saint-Georges,GD,12.0564,-61.7485,83.88,65,40,12.86,scattered clouds
219,Adet,ET,11.2644,37.4888,68.36,38,80,3.34,broken clouds
220,Abu Dhabi,AE,24.4667,54.3667,75.31,85,0,0.51,clear sky
221,Chokwe,MZ,-24.5333,32.9833,78.94,53,0,4.79,clear sky
222,Sambava,MG,-14.2667,50.1667,77.65,87,100,3.89,light rain
223,Hami,CN,42.8,93.45,53.71,25,0,3.78,clear sky
224,Notre-Dame-Du-Lac,CA,47.6136,-68.7964,43.14,82,100,3.43,overcast clouds
225,Sao Filipe,CV,14.8961,-24.4956,71.13,76,4,4.26,clear sky
226,Poum,NC,-20.2333,164.0167,81.99,82,100,7.96,overcast clouds
227,Tautira,PF,-17.7333,-149.15,81.81,77,20,6.6,light rain
228,Coquimbo,CL,-29.9533,-71.3436,62.33,72,0,5.66,clear sky
229,Dryden,CA,49.7833,-92.7503,35.89,69,100,0.0,overcast clouds
230,Limon,CR,10.0,-83.0333,84.09,74,40,3.09,scattered clouds
231,Erdenet,MN,49.0333,104.0833,35.51,52,93,3.06,overcast clouds
232,Brunsbuttel,DE,53.9,9.15,44.11,82,61,2.24,broken clouds
233,Tuatapere,NZ,-46.1333,167.6833,46.99,92,87,1.54,overcast clouds
234,Torbay,CA,47.6666,-52.7314,41.88,71,20,15.95,few clouds
235,Kindu,CD,-2.95,25.95,71.53,97,67,1.0,light rain
236,Westport,US,41.1415,-73.3579,44.91,92,100,2.57,overcast clouds
237,Svay Rieng,KH,11.0879,105.7993,75.54,71,100,3.44,overcast clouds
238,Aykhal,RU,66.0,111.5,3.76,97,100,3.77,overcast clouds
239,Marawi,PH,7.9986,124.2928,67.33,95,89,0.44,overcast clouds
240,Kyra,RU,49.5776,111.9753,28.0,82,69,0.92,broken clouds
241,Vila Velha,BR,-20.3297,-40.2925,84.15,79,40,4.63,scattered clouds
242,Ancud,CL,-41.8697,-73.8203,50.23,67,81,4.02,broken clouds
243,Taltal,CL,-25.4,-70.4833,67.23,66,22,2.37,few clouds
244,Gillette,US,44.2911,-105.5022,49.1,29,0,10.8,clear sky
245,Rurrenabaque,BO,-14.4413,-67.5278,87.55,45,0,1.97,clear sky
246,Chany,RU,55.3121,76.7647,33.35,100,100,3.04,overcast clouds
247,Zalesovo,RU,53.9939,84.7431,33.12,100,100,1.17,overcast clouds
248,Nuuk,GL,64.1835,-51.7216,36.21,87,20,5.14,few clouds
249,Usinsk,RU,65.9939,57.5281,19.71,85,100,5.4,overcast clouds
250,Samana,DO,19.2056,-69.3369,87.76,74,40,4.12,scattered clouds
251,Port Blair,IN,11.6667,92.75,82.44,78,40,2.57,mist
252,Olafsvik,IS,64.8945,-23.7142,36.0,93,100,7.8,overcast clouds
253,Nizwa,OM,22.9333,57.5333,77.72,26,0,2.7,clear sky
254,Dunedin,NZ,-45.8742,170.5036,55.8,76,93,1.79,overcast clouds
255,Bella Vista,US,36.4295,-94.2316,72.52,34,0,7.2,clear sky
256,Terni,IT,42.6833,12.3167,40.01,86,10,1.32,clear sky
257,Stornoway,GB,58.2093,-6.3865,49.96,94,100,7.72,overcast clouds
258,Sawakin,SD,19.1059,37.3321,80.31,63,100,3.23,overcast clouds
259,Fortuna,US,40.5982,-124.1573,56.93,70,20,4.63,few clouds
260,Colomi,BO,-17.35,-65.8667,66.22,75,69,4.03,broken clouds
261,Praia,CV,14.9215,-23.5087,73.94,60,20,6.17,few clouds
262,Dingle,PH,10.9995,122.6711,75.43,86,100,3.12,overcast clouds
263,Vardo,NO,70.3705,31.1107,26.58,93,75,4.63,light shower snow
264,Abatskoye,RU,56.2875,70.4555,36.66,96,100,5.68,overcast clouds
265,Sri Aman,MY,1.2376,111.4621,75.25,94,75,0.0,broken clouds
266,Roma,US,43.2128,-75.4557,39.72,92,100,0.0,light rain
267,Fuengirola,ES,36.54,-4.6247,57.2,45,75,7.72,broken clouds
268,Diu,IN,20.7141,70.9822,77.99,65,5,6.79,clear sky
269,Nha Trang,VN,12.25,109.1833,77.0,86,100,4.21,overcast clouds
270,La Ronge,CA,55.1001,-105.2842,41.22,48,20,3.09,few clouds
271,Razole,IN,16.4833,81.8333,76.69,94,13,1.61,few clouds
272,Manga,BF,11.6636,-1.0731,88.21,44,100,4.3,light rain
273,Baykit,RU,61.67,96.37,-0.35,100,68,1.35,broken clouds
274,Cururupu,BR,-1.8283,-44.8683,81.16,77,75,2.41,broken clouds
275,Maarianhamina,AX,60.0973,19.9348,37.26,70,0,3.6,clear sky
276,Saskylakh,RU,71.9167,114.0833,-7.06,98,100,4.32,overcast clouds
277,Husavik,IS,66.0449,-17.3389,29.77,95,100,5.36,snow
278,Kargasok,RU,59.0556,80.8572,21.49,88,100,4.23,overcast clouds
279,Bambous Virieux,MU,-20.3428,57.7575,80.22,83,75,5.14,broken clouds
280,Rockhampton,AU,-23.3833,150.5,69.69,88,49,3.09,scattered clouds
281,Opoczno,PL,51.3757,20.2783,31.91,82,92,3.79,overcast clouds
282,Aksu,CN,41.1231,80.2644,57.31,29,0,1.35,clear sky
283,Saint Anthony,US,45.0205,-93.218,43.25,65,100,3.6,snow
284,Narsaq,GL,60.9167,-46.05,46.62,76,100,1.97,overcast clouds
285,Kirakira,SB,-10.4544,161.9205,80.71,83,100,4.77,overcast clouds
286,Porterville,US,36.0652,-119.0168,74.75,33,0,4.63,clear sky
287,Asau,RO,46.4333,26.4,32.92,93,100,0.54,snow
288,Priargunsk,RU,50.3691,119.1012,31.46,40,88,3.57,overcast clouds
289,Carnarvon,AU,-24.8667,113.6333,77.07,83,40,5.66,scattered clouds
290,Ketchikan,US,55.3422,-131.6461,44.58,75,100,7.72,light rain
291,Cuamba,MZ,-14.8031,36.5372,69.71,95,32,0.84,light rain
292,Vostok,RU,46.4856,135.8833,27.46,82,0,3.14,clear sky
293,Wajima,JP,37.4,136.9,46.22,81,7,4.91,clear sky
294,Maripi,CO,5.5519,-74.0086,73.69,88,89,1.23,overcast clouds
295,Las Palmas,ES,28.4204,-14.0131,63.39,82,40,6.17,scattered clouds
296,Airai,TL,-8.9266,125.4092,56.95,77,20,0.52,few clouds
297,Praia Da Vitoria,PT,38.7333,-27.0667,62.76,82,20,7.01,few clouds
298,Lufilufi,WS,-13.8745,-171.5986,78.58,75,69,6.4,broken clouds
299,Baillif,GP,16.0202,-61.7463,81.9,61,3,6.49,clear sky
300,Tacuati,PY,-23.45,-56.5833,90.82,43,90,2.13,overcast clouds
301,Carson City,US,39.1638,-119.7674,65.44,18,0,2.06,clear sky
302,Alcala La Real,ES,37.4614,-3.923,48.07,56,100,1.89,overcast clouds
303,Ferkessedougou,CI,9.6,-5.2,88.5,38,82,2.5,broken clouds
304,Whitianga,NZ,-36.8333,175.7,63.54,80,8,0.97,clear sky
305,Ruteng,ID,-8.6136,120.4721,59.02,90,93,0.45,overcast clouds
306,Derzhavinsk,KZ,51.1,66.3167,39.18,77,98,5.52,overcast clouds
307,Mastic Beach,US,40.7668,-72.8521,45.54,80,100,0.89,overcast clouds
308,Colesberg,ZA,-30.72,25.0972,62.76,75,19,2.63,few clouds
309,Lanxi,CN,29.2195,119.477,47.01,77,57,1.6,broken clouds
310,Gambela,ET,8.25,34.5833,80.17,57,26,1.24,light rain
311,Sompeta,IN,18.9333,84.6,77.68,90,16,6.11,few clouds
312,Krishnarajasagara,IN,12.4089,76.5797,75.16,74,73,2.02,broken clouds
313,Srivardhan,IN,18.0333,73.0167,78.35,78,12,2.62,few clouds
314,Babayurt,RU,43.6002,46.7789,53.6,56,22,3.88,few clouds
315,Carmen,MX,18.6333,-91.8333,87.84,62,0,3.09,clear sky
